Date,Time,pres (mbar)
3/13/2023,5:00:00,985.3
3/13/2023,6:00:00,984.9
3/13/2023,7:00:00,984.4
3/13/2023,8:00:00,983.5
3/13/2023,9:00:00,983.2
3/13/2023,10:00:00,982.9
3/13/2023,11:00:00,983.1
3/13/2023,12:00:00,982.2
3/13/2023,13:00:00,981.9
3/13/2023,14:00:00,982
3/13/2023,15:00:00,981.6
3/13/2023,16:00:00,981.2
3/13/2023,17:00:00,980.9
3/13/2023,18:00:00,980.9
3/13/2023,19:00:00,980.7
3/13/2023,20:00:00,980
3/13/2023,21:00:00,980.2
3/13/2023,22:00:00,980
3/13/2023,23:00:00,979.9
3/14/2023,0:00:00,980.1
3/14/2023,1:00:00,981.8
3/14/2023,2:00:00,983
3/14/2023,3:00:00,984.6
3/14/2023,4:00:00,985.7
3/14/2023,5:00:00,987
3/14/2023,6:00:00,988.6
3/14/2023,7:00:00,991.4
3/14/2023,8:00:00,993.8
3/14/2023,9:00:00,996
3/14/2023,10:00:00,997.7
3/14/2023,11:00:00,998.9
3/14/2023,12:00:00,1000.2
3/14/2023,13:00:00,1001.3
3/14/2023,14:00:00,1000.9
3/14/2023,15:00:00,1003.5
3/14/2023,16:00:00,1003.1
3/14/2023,17:00:00,1004.2
3/14/2023,18:00:00,1004.3
3/14/2023,19:00:00,1005.4
3/14/2023,20:00:00,1006.1
3/14/2023,21:00:00,1005.9
3/14/2023,22:00:00,1006.6
3/14/2023,23:00:00,1007
3/15/2023,0:00:00,1007.5
3/15/2023,1:00:00,1008.8
3/15/2023,2:00:00,1009.2
3/15/2023,3:00:00,1009.4
3/15/2023,4:00:00,1010.1
3/15/2023,5:00:00,1010.3
3/15/2023,6:00:00,1010.4
3/15/2023,7:00:00,1011.1
3/15/2023,8:00:00,1011.6
3/15/2023,9:00:00,1011.3
3/15/2023,10:00:00,1012
3/15/2023,11:00:00,1012
3/15/2023,12:00:00,1011.7
3/15/2023,13:00:00,1011.2
3/15/2023,14:00:00,1010.5
3/15/2023,15:00:00,1010.1
3/15/2023,16:00:00,1009.8
3/15/2023,17:00:00,1009.7
3/15/2023,18:00:00,1009.4
3/15/2023,19:00:00,1009.1
3/15/2023,20:00:00,1008.3
3/15/2023,21:00:00,1007.7
3/15/2023,22:00:00,1007.1
3/15/2023,23:00:00,1006.6
3/16/2023,0:00:00,1005.7
3/16/2023,1:00:00,1006.4
3/16/2023,2:00:00,1003.8
3/16/2023,3:00:00,1003
3/16/2023,4:00:00,1002.5
3/16/2023,5:00:00,1002.6
3/16/2023,6:00:00,1002.2
3/16/2023,7:00:00,1001.9
3/16/2023,8:00:00,1001.8
3/16/2023,9:00:00,1002.2
3/16/2023,10:00:00,1002.1
3/16/2023,11:00:00,1001.6
3/16/2023,12:00:00,1001
3/16/2023,13:00:00,1000.2
3/16/2023,14:00:00,999.4
3/16/2023,15:00:00,999.3
3/16/2023,16:00:00,998.9
3/16/2023,17:00:00,998.7
3/16/2023,18:00:00,999
3/16/2023,19:00:00,998.6
3/16/2023,20:00:00,998.2
3/16/2023,21:00:00,998
3/16/2023,22:00:00,998.3
3/16/2023,23:00:00,998.1
3/17/2023,0:00:00,998.1
3/17/2023,1:00:00,998.2
3/17/2023,2:00:00,998.3
3/17/2023,3:00:00,998.2
3/17/2023,4:00:00,998.6
3/17/2023,5:00:00,998
3/17/2023,6:00:00,998.5
3/17/2023,7:00:00,998.6
3/17/2023,8:00:00,999
3/17/2023,9:00:00,999.5
3/17/2023,10:00:00,999.1
3/17/2023,11:00:00,999.2
3/17/2023,12:00:00,999.4
3/17/2023,13:00:00,999.2
3/17/2023,14:00:00,998.4
3/17/2023,15:00:00,998.8
3/17/2023,16:00:00,998.8
3/17/2023,17:00:00,998.8
3/17/2023,18:00:00,999.5
3/17/2023,19:00:00,999.5
3/17/2023,20:00:00,999.6
3/17/2023,21:00:00,1000.3
3/17/2023,22:00:00,1000
3/17/2023,23:00:00,1000.1
3/18/2023,0:00:00,1000.6
3/18/2023,1:00:00,1000.3
3/18/2023,2:00:00,1000.1
3/18/2023,3:00:00,999.9
3/18/2023,4:00:00,1000.1
3/18/2023,5:00:00,1000.5
3/18/2023,6:00:00,1000.4
3/18/2023,7:00:00,1000.9
3/18/2023,8:00:00,1001.2
3/18/2023,9:00:00,1001.5
3/18/2023,10:00:00,1001
3/18/2023,11:00:00,1001.1
3/18/2023,12:00:00,1001.1
3/18/2023,13:00:00,1000.8
3/18/2023,14:00:00,1000.7
3/18/2023,15:00:00,1000.5
3/18/2023,16:00:00,1000.7
3/18/2023,17:00:00,1001.2
3/18/2023,18:00:00,1001.7
3/18/2023,19:00:00,1001.9
3/18/2023,20:00:00,1002.7
3/18/2023,21:00:00,1000.7
3/18/2023,22:00:00,1000.2
3/18/2023,23:00:00,1001.3
3/19/2023,0:00:00,995.4
3/19/2023,1:00:00,1003.8
3/19/2023,2:00:00,995.3
3/19/2023,3:00:00,991
3/19/2023,4:00:00,989.4
3/19/2023,5:00:00,991
3/19/2023,6:00:00,991.2
3/19/2023,7:00:00,993.3
3/19/2023,8:00:00,1008.2
3/19/2023,9:00:00,1006
3/19/2023,10:00:00,1004.6
3/19/2023,11:00:00,1007.8
3/19/2023,12:00:00,1010.6
3/19/2023,13:00:00,1010.9
3/19/2023,14:00:00,1010.7
3/19/2023,15:00:00,1011.2
3/19/2023,16:00:00,1011.3
3/19/2023,17:00:00,1012.2
3/19/2023,18:00:00,1012.9
3/19/2023,19:00:00,1012.5
3/19/2023,20:00:00,1013.2
3/19/2023,21:00:00,1012.9
3/19/2023,22:00:00,1012.7
3/19/2023,23:00:00,1012.7
3/20/2023,0:00:00,1012.6
3/20/2023,1:00:00,1012.2
3/20/2023,2:00:00,1011.7
3/20/2023,3:00:00,1011.4
3/20/2023,4:00:00,1010.9
3/20/2023,5:00:00,1010.9
3/20/2023,6:00:00,1010.4
3/20/2023,7:00:00,1010.5
3/20/2023,8:00:00,1010.6
3/20/2023,9:00:00,1011
3/20/2023,10:00:00,1010.9
3/20/2023,11:00:00,1010.8
3/20/2023,12:00:00,1010.7
3/20/2023,13:00:00,1010.2
3/20/2023,14:00:00,1010
3/20/2023,15:00:00,1009.7
3/20/2023,16:00:00,1009.4
3/20/2023,17:00:00,1009.3
3/20/2023,18:00:00,1009.5
3/20/2023,19:00:00,1009.4
3/20/2023,20:00:00,1009.1
3/20/2023,21:00:00,1008.8
3/20/2023,22:00:00,1008.5
3/20/2023,23:00:00,1008
3/21/2023,0:00:00,1007.6
3/21/2023,1:00:00,1007.3
3/21/2023,2:00:00,1007.4
3/21/2023,3:00:00,1007
3/21/2023,4:00:00,1006.2
3/21/2023,5:00:00,1004.3
3/21/2023,6:00:00,1004.6
3/21/2023,7:00:00,1004.9
3/21/2023,8:00:00,1003.8
3/21/2023,9:00:00,1004
3/21/2023,10:00:00,1003
3/21/2023,11:00:00,1002.9
3/21/2023,12:00:00,1002.6
3/21/2023,13:00:00,1001.7
3/21/2023,14:00:00,1001.5
3/21/2023,15:00:00,1001.2
3/21/2023,16:00:00,1001
3/21/2023,17:00:00,1001.1
3/21/2023,18:00:00,1001.2
3/21/2023,19:00:00,1000.9
3/21/2023,20:00:00,1000.7
3/21/2023,21:00:00,1000.7
3/21/2023,22:00:00,999.8
3/21/2023,23:00:00,999.1
3/22/2023,0:00:00,998.5
3/22/2023,1:00:00,998.8
3/22/2023,2:00:00,996
3/22/2023,3:00:00,997.4
3/22/2023,4:00:00,994.2
3/22/2023,5:00:00,994.1
3/22/2023,6:00:00,994
3/22/2023,7:00:00,993.7
3/22/2023,8:00:00,994.6
3/22/2023,9:00:00,994.7
3/22/2023,10:00:00,992.6
3/22/2023,11:00:00,994.9
3/22/2023,12:00:00,994.7
3/22/2023,13:00:00,994.2
3/22/2023,14:00:00,993.8
3/22/2023,15:00:00,993.4
3/22/2023,16:00:00,993.5
3/22/2023,17:00:00,992.9
3/22/2023,18:00:00,993.1
3/22/2023,19:00:00,992.7
3/22/2023,20:00:00,991.7
3/22/2023,21:00:00,991.4
3/22/2023,22:00:00,990.6
3/22/2023,23:00:00,990
3/23/2023,0:00:00,986.5
3/23/2023,1:00:00,982.4
3/23/2023,2:00:00,982.8
3/23/2023,3:00:00,981.2
3/23/2023,4:00:00,981.1
3/23/2023,5:00:00,980.8
3/23/2023,6:00:00,979.4
3/23/2023,7:00:00,984.2
3/23/2023,8:00:00,998.4
3/23/2023,9:00:00,1004.9
3/23/2023,10:00:00,1010.6
3/23/2023,11:00:00,1011.8
3/23/2023,12:00:00,999.2
3/23/2023,13:00:00,1012.2
3/23/2023,14:00:00,1011.5
3/23/2023,15:00:00,1011.9
3/23/2023,16:00:00,1007.1
3/23/2023,17:00:00,991.4
3/23/2023,18:00:00,990.4
3/23/2023,19:00:00,989.3
3/23/2023,20:00:00,988.3
3/23/2023,21:00:00,989.8
3/23/2023,22:00:00,983.2
3/23/2023,23:00:00,978.8
3/24/2023,0:00:00,981.4
3/24/2023,1:00:00,982
3/24/2023,2:00:00,981.9
3/24/2023,3:00:00,979.4
3/24/2023,4:00:00,976.5
3/24/2023,5:00:00,972.6
3/24/2023,6:00:00,975.4
3/24/2023,7:00:00,978.2
3/24/2023,8:00:00,991.7
3/24/2023,9:00:00,998.6
3/24/2023,10:00:00,1005.6
3/24/2023,11:00:00,992.9
3/24/2023,12:00:00,992.7
3/24/2023,13:00:00,992
3/24/2023,14:00:00,991.2
3/24/2023,15:00:00,991.5
3/24/2023,16:00:00,991.6
3/24/2023,17:00:00,991.2
3/24/2023,18:00:00,991.5
3/24/2023,19:00:00,992
3/24/2023,20:00:00,992.1
3/24/2023,21:00:00,991.9
3/24/2023,22:00:00,992.3
3/24/2023,23:00:00,992.2
3/25/2023,0:00:00,992.1
3/25/2023,1:00:00,992.3
3/25/2023,2:00:00,991.8
3/25/2023,3:00:00,991.8
3/25/2023,4:00:00,992.3
3/25/2023,5:00:00,992.7
3/25/2023,6:00:00,993.2
3/25/2023,7:00:00,994.1
3/25/2023,8:00:00,995
3/25/2023,9:00:00,995.6
3/25/2023,10:00:00,996.6
3/25/2023,11:00:00,997.4
3/25/2023,12:00:00,998.2
3/25/2023,13:00:00,998.5
3/25/2023,14:00:00,998.1
3/25/2023,15:00:00,999.2
3/25/2023,16:00:00,999.2
3/25/2023,17:00:00,999.8
3/25/2023,18:00:00,1000.4
3/25/2023,19:00:00,1000.4
3/25/2023,20:00:00,1000.6
3/25/2023,21:00:00,1000.5
3/25/2023,22:00:00,1000.1
3/25/2023,23:00:00,999.7
3/26/2023,0:00:00,999
3/26/2023,2:00:00,998.2
3/26/2023,3:00:00,996.3
3/26/2023,4:00:00,996.1
3/26/2023,5:00:00,995.8
3/26/2023,6:00:00,995.9
3/26/2023,7:00:00,996.4
3/26/2023,8:00:00,997.2
3/26/2023,9:00:00,998.4
3/26/2023,10:00:00,999.7
3/26/2023,11:00:00,1001
3/26/2023,12:00:00,1002.3
3/26/2023,13:00:00,1003.3
3/26/2023,14:00:00,1004.5
3/26/2023,15:00:00,1005.6
3/26/2023,16:00:00,1006.8
3/26/2023,17:00:00,1008.1
3/26/2023,18:00:00,1009.4
3/26/2023,19:00:00,1010.6
3/26/2023,20:00:00,1011.3
3/26/2023,21:00:00,1012.4
3/26/2023,22:00:00,1013.4
3/26/2023,23:00:00,1014
3/27/2023,0:00:00,1014.8
3/27/2023,1:00:00,1015.3
3/27/2023,2:00:00,1016.1
3/27/2023,3:00:00,1016.4
3/27/2023,4:00:00,1017.2
3/27/2023,5:00:00,1017.7
3/27/2023,6:00:00,1018.6
3/27/2023,7:00:00,1019.1
3/27/2023,8:00:00,1019.9
3/27/2023,9:00:00,1020
3/27/2023,10:00:00,1020.6
3/27/2023,11:00:00,1021.1
3/27/2023,12:00:00,1020.8
3/27/2023,13:00:00,1021.1
3/27/2023,14:00:00,1020.9
3/27/2023,15:00:00,1021.2
3/27/2023,16:00:00,1021.1
3/27/2023,17:00:00,1021
3/27/2023,18:00:00,1020.6
3/27/2023,19:00:00,1020.7
3/27/2023,20:00:00,1020.4
3/27/2023,21:00:00,1020.4
3/27/2023,22:00:00,1020.3
3/27/2023,23:00:00,1019.8
3/28/2023,0:00:00,1019.8
3/28/2023,1:00:00,1019.2
3/28/2023,2:00:00,1018.7
3/28/2023,3:00:00,1018
3/28/2023,4:00:00,1017.3
3/28/2023,5:00:00,1016.8
3/28/2023,6:00:00,1016.7
3/28/2023,7:00:00,1015.8
3/28/2023,8:00:00,1015.6
3/28/2023,9:00:00,1015
3/28/2023,10:00:00,1014.3
3/28/2023,11:00:00,1014
3/28/2023,12:00:00,1014
3/28/2023,13:00:00,1014.1
3/28/2023,14:00:00,1012.1
3/28/2023,15:00:00,1011.7
3/28/2023,16:00:00,1009.9
3/28/2023,17:00:00,1008.9
3/28/2023,18:00:00,1008.8
3/28/2023,19:00:00,1008.6
3/28/2023,20:00:00,1008.6
3/28/2023,21:00:00,1008.8
3/28/2023,22:00:00,1008.4
3/28/2023,23:00:00,1008.4
3/29/2023,0:00:00,1007.3
3/29/2023,1:00:00,1007.4
3/29/2023,2:00:00,1007.1
3/29/2023,3:00:00,1006.6
3/29/2023,4:00:00,1006.6
3/29/2023,5:00:00,1006.2
3/29/2023,6:00:00,1006.5
3/29/2023,7:00:00,1006.7
3/29/2023,8:00:00,1006.4
3/29/2023,9:00:00,1005.9
3/29/2023,10:00:00,1004.9
3/29/2023,11:00:00,1004.4
3/29/2023,12:00:00,1003.5
3/29/2023,13:00:00,1002.9
3/29/2023,14:00:00,1001.9
3/29/2023,15:00:00,1001
3/29/2023,16:00:00,1000.4
3/29/2023,17:00:00,999.9
3/29/2023,18:00:00,999
3/29/2023,19:00:00,998.8
3/29/2023,20:00:00,997.9
3/29/2023,21:00:00,999.2
3/29/2023,22:00:00,999.1
3/29/2023,23:00:00,996.5
3/30/2023,0:00:00,996
3/30/2023,1:00:00,995.4
3/30/2023,2:00:00,995.5
3/30/2023,3:00:00,995.1
3/30/2023,4:00:00,995.9
3/30/2023,5:00:00,992.8
3/30/2023,6:00:00,993.4
3/30/2023,7:00:00,998
3/30/2023,8:00:00,997.8
3/30/2023,9:00:00,998.3
3/30/2023,10:00:00,998.6
3/30/2023,12:00:00,998.1
3/30/2023,13:00:00,998.2
3/30/2023,14:00:00,998.1
3/30/2023,15:00:00,998.2
3/30/2023,16:00:00,997.7
3/30/2023,17:00:00,998.1
3/30/2023,18:00:00,997.6
3/30/2023,19:00:00,997.5
3/30/2023,20:00:00,997.3
3/30/2023,21:00:00,996.8
3/30/2023,22:00:00,995.7
3/30/2023,23:00:00,994.2
3/31/2023,0:00:00,992.8
3/31/2023,1:00:00,991.7
3/31/2023,2:00:00,990.6
3/31/2023,3:00:00,987.6
3/31/2023,4:00:00,985.2
3/31/2023,5:00:00,983.5
3/31/2023,6:00:00,982.2
3/31/2023,7:00:00,981.7
3/31/2023,8:00:00,980.1
