"Plot Title: RLCP HOBO U20L_01"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 21571440, SEN S/N: 21571440)","Temp, °C (LGR S/N: 21571440, SEN S/N: 21571440)","Pressure Barom., kPa (LGR S/N: )","Sensor Depth, meters (LGR S/N: 21571440)","Coupler Detached (LGR S/N: 21571440)","Coupler Attached (LGR S/N: 21571440)","Stopped (LGR S/N: 21571440)","End Of File (LGR S/N: 21571440)"
1,02/20/23 04:00:00 PM,101.232,12.207,101.460,-0.023,Logged,,,
2,02/20/23 05:00:00 PM,105.806,9.866,101.530,0.436,,,,
3,02/20/23 06:00:00 PM,105.829,9.571,101.540,0.438,,,,
4,02/20/23 07:00:00 PM,105.820,9.176,101.520,0.439,,,,
5,02/20/23 08:00:00 PM,105.810,8.879,101.560,0.434,,,,
6,02/20/23 09:00:00 PM,105.800,8.481,101.540,0.435,,,,
7,02/20/23 10:00:00 PM,105.779,8.282,101.550,0.431,,,,
8,02/20/23 11:00:00 PM,105.779,8.082,101.530,0.433,,,,
9,02/21/23 12:00:00 AM,105.747,7.882,101.520,0.431,,,,
10,02/21/23 01:00:00 AM,105.715,7.882,101.490,0.431,,,,
11,02/21/23 02:00:00 AM,105.682,7.782,101.460,0.431,,,,
12,02/21/23 03:00:00 AM,105.693,7.782,101.450,0.433,,,,
13,02/21/23 04:00:00 AM,105.682,7.782,101.450,0.432,,,,
14,02/21/23 05:00:00 AM,105.693,7.782,101.430,0.435,,,,
15,02/21/23 06:00:00 AM,105.639,7.782,101.380,0.434,,,,
16,02/21/23 07:00:00 AM,105.639,7.782,101.400,0.432,,,,
17,02/21/23 08:00:00 AM,105.650,7.782,101.420,0.431,,,,
18,02/21/23 09:00:00 AM,105.639,7.882,101.370,0.435,,,,
19,02/21/23 10:00:00 AM,105.575,7.983,101.380,0.428,,,,
20,02/21/23 11:00:00 AM,105.542,8.182,101.380,0.425,,,,
21,02/21/23 12:00:00 PM,105.434,8.382,101.280,0.424,,,,
22,02/21/23 01:00:00 PM,105.400,8.879,101.230,0.425,,,,
23,02/21/23 02:00:00 PM,105.345,9.373,101.050,0.438,,,,
24,02/21/23 03:00:00 PM,105.278,9.669,100.990,0.437,,,,
25,02/21/23 04:00:00 PM,105.224,9.669,100.990,0.432,,,,
26,02/21/23 05:00:00 PM,105.226,9.373,100.950,0.436,,,,
27,02/21/23 06:00:00 PM,105.271,8.879,100.950,0.441,,,,
28,02/21/23 07:00:00 PM,105.240,8.282,100.930,0.440,,,,
29,02/21/23 08:00:00 PM,105.187,7.983,100.890,0.438,,,,
30,02/21/23 09:00:00 PM,105.133,7.682,100.860,0.436,,,,
31,02/21/23 10:00:00 PM,105.058,7.582,100.820,0.432,,,,
32,02/21/23 11:00:00 PM,104.993,7.481,100.770,0.431,,,,
33,02/22/23 12:00:00 AM,104.961,7.381,100.740,0.431,,,,
34,02/22/23 01:00:00 AM,104.939,7.280,100.710,0.431,,,,
35,02/22/23 02:00:00 AM,104.875,7.079,100.650,0.431,,,,
36,02/22/23 03:00:00 AM,104.842,6.978,100.610,0.432,,,,
37,02/22/23 04:00:00 AM,104.799,6.978,100.550,0.433,,,,
38,02/22/23 05:00:00 AM,104.735,6.978,100.510,0.431,,,,
39,02/22/23 06:00:00 AM,104.702,6.877,100.480,0.431,,,,
40,02/22/23 07:00:00 AM,104.734,6.877,100.480,0.434,,,,
41,02/22/23 08:00:00 AM,104.745,6.877,100.480,0.435,,,,
42,02/22/23 09:00:00 AM,104.735,6.978,100.510,0.431,,,,
43,02/22/23 10:00:00 AM,104.713,7.179,100.540,0.426,,,,
44,02/22/23 11:00:00 AM,104.681,7.481,100.510,0.425,,,,
45,02/22/23 12:00:00 PM,104.702,7.882,100.510,0.428,,,,
46,02/22/23 01:00:00 PM,104.735,7.983,100.510,0.431,,,,
47,02/22/23 02:00:00 PM,104.756,8.082,100.510,0.433,,,,
48,02/22/23 03:00:00 PM,104.756,8.182,100.540,0.430,,,,
49,02/22/23 04:00:00 PM,104.842,8.182,100.590,0.434,,,,
50,02/22/23 05:00:00 PM,104.896,8.082,100.640,0.434,,,,
