RLCP Linnet Flow Monitoring,Kestrel Ambient Conditions Log,,,,,,
Start date,2023-01-28,,,,,,
End date,2023-02-04,,,,,,
Retrieved by,M Sandifer,,,,,,
Notes,Device setup/configuration is noted in first few rows of data.,Default settings as altimeter mode and 10 min readings not intended.,Will compare with subsequent log to note changes once set to barometer mode and hourly readings.,,,,
Device Name,D3 - 2592884, , , , , ,
Device Model,Kestrel DROP 3, , , , , ,
Serial Number,2592884, , , , , ,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Station Pressure,Heat Index,Dew Point,Density Altitude, 
yyyy-MM-dd hh:mm:ss a,°C,%,mb,°C,°C,m,Data Type
2023-02-03 04:00:00 PM,11.6,77.7,1025.5,11.3,7.8,-209,point
2023-02-03 04:10:00 PM,11.5,77.9,1025.5,11.3,7.8,-210,point
2023-02-03 04:20:00 PM,11.4,78.5,1025.6,11.1,7.8,-217,point
2023-02-03 04:30:00 PM,11.5,78.5,1025.9,11.2,7.9,-215,point
2023-02-03 04:40:00 PM,11.4,78.6,1026.0,11.1,7.8,-220,point
2023-02-03 04:50:00 PM,11.2,78.9,1025.9,11.0,7.7,-227,point
2023-02-03 05:00:00 PM,11.2,78.8,1026.3,10.9,7.6,-232,point
2023-02-03 05:10:00 PM,11.3,78.9,1026.1,11.1,7.8,-225,point
2023-02-03 05:20:00 PM,11.1,78.8,1026.3,10.9,7.6,-233,point
2023-02-03 05:30:00 PM,11.1,79.2,1026.4,10.8,7.6,-237,point
2023-02-03 05:40:00 PM,11.0,79.2,1026.7,10.7,7.5,-245,point
2023-02-03 05:50:00 PM,11.1,79.5,1026.8,10.8,7.7,-241,point
2023-02-03 06:00:00 PM,10.9,79.7,1027.0,10.6,7.5,-251,point
2023-02-03 06:10:00 PM,10.9,80.0,1027.2,10.6,7.6,-252,point
2023-02-03 06:20:00 PM,10.7,80.5,1027.3,10.4,7.5,-261,point
2023-02-03 06:30:00 PM,10.6,80.7,1027.4,10.3,7.4,-266,point
2023-02-03 06:40:00 PM,10.4,81.2,1027.5,10.3,7.3,-273,point
2023-02-03 06:50:00 PM,10.3,81.5,1027.6,10.2,7.3,-279,point
2023-02-03 07:00:00 PM,10.2,82.0,1027.7,10.1,7.3,-281,point
2023-02-03 07:10:00 PM,10.2,81.9,1027.5,10.1,7.2,-281,point
2023-02-03 07:20:00 PM,9.8,82.9,1027.6,9.7,7.0,-299,point
2023-02-03 07:30:00 PM,9.6,84.0,1027.6,9.5,7.0,-307,point
2023-02-03 07:40:00 PM,9.7,84.6,1027.6,9.7,7.2,-301,point
2023-02-03 07:50:00 PM,9.6,84.3,1027.5,9.5,7.0,-306,point
2023-02-03 08:00:00 PM,9.4,84.1,1027.8,9.4,6.9,-315,point
2023-02-03 08:10:00 PM,9.6,84.2,1027.7,9.5,7.1,-307,point
2023-02-03 08:20:00 PM,9.6,83.9,1028.1,9.5,7.0,-312,point
2023-02-03 08:30:00 PM,9.7,83.5,1028.4,9.6,7.0,-310,point
2023-02-03 08:40:00 PM,9.8,83.3,1027.9,9.7,7.1,-302,point
2023-02-03 08:50:00 PM,9.7,83.2,1028.2,9.7,7.0,-308,point
2023-02-03 09:00:00 PM,9.8,82.8,1028.2,9.8,7.0,-303,point
2023-02-03 09:10:00 PM,9.7,82.3,1028.3,9.5,6.8,-311,point
2023-02-03 09:20:00 PM,9.3,82.7,1028.4,9.3,6.5,-326,point
2023-02-03 09:30:00 PM,9.1,83.1,1028.6,9.1,6.4,-335,point
2023-02-03 09:40:00 PM,9.0,83.9,1028.5,9.0,6.4,-338,point
2023-02-03 09:50:00 PM,9.1,84.6,1028.5,9.1,6.7,-333,point
2023-02-03 10:00:00 PM,8.8,84.7,1028.9,8.8,6.4,-349,point
2023-02-03 10:10:00 PM,8.9,84.8,1028.7,8.9,6.5,-343,point
2023-02-03 10:20:00 PM,8.8,85.0,1029.2,8.7,6.4,-355,point
2023-02-03 10:30:00 PM,8.8,85.2,1028.9,8.7,6.4,-352,point
2023-02-03 10:40:00 PM,8.7,85.2,1029.3,8.7,6.3,-357,point
2023-02-03 10:50:00 PM,8.6,85.0,1029.1,8.5,6.2,-362,point
2023-02-03 11:00:00 PM,8.5,84.6,1029.0,8.5,6.1,-362,point
2023-02-03 11:10:00 PM,8.5,84.4,1029.3,8.5,6.0,-365,point
2023-02-03 11:20:00 PM,8.3,85.1,1029.3,8.3,6.0,-373,point
2023-02-03 11:30:00 PM,7.6,85.2,1029.2,7.6,5.3,-400,point
2023-02-03 11:40:00 PM,7.5,88.4,1029.1,7.6,5.7,-402,point
2023-02-03 11:50:00 PM,6.2,87.6,1029.3,6.2,4.3,-454,point
2023-02-04 12:00:00 AM,6.3,89.7,1029.1,6.4,4.8,-448,point
2023-02-04 12:10:00 AM,5.7,90.2,1029.3,5.8,4.2,-475,point
2023-02-04 12:20:00 AM,6.8,93.1,1029.3,6.9,5.8,-429,point
2023-02-04 12:30:00 AM,7.5,92.2,1029.5,7.6,6.3,-405,point
2023-02-04 12:40:00 AM,7.6,90.9,1029.4,7.7,6.2,-399,point
2023-02-04 12:50:00 AM,7.7,88.0,1029.3,7.7,5.8,-396,point
2023-02-04 01:00:00 AM,8.2,85.4,1029.9,8.2,5.9,-382,point
2023-02-04 01:10:00 AM,8.3,83.6,1029.5,8.3,5.7,-374,point
2023-02-04 01:20:00 AM,8.6,82.3,1029.5,8.5,5.8,-365,point
2023-02-04 01:30:00 AM,8.8,81.2,1029.6,8.7,5.8,-359,point
2023-02-04 01:40:00 AM,9.0,79.8,1029.7,8.9,5.7,-352,point
2023-02-04 01:50:00 AM,8.9,79.3,1029.7,8.7,5.5,-358,point
2023-02-04 02:00:00 AM,8.7,79.3,1029.8,8.6,5.3,-365,point
2023-02-04 02:10:00 AM,8.6,79.4,1029.7,8.4,5.2,-371,point
2023-02-04 02:20:00 AM,8.5,79.9,1029.8,8.4,5.2,-373,point
2023-02-04 02:30:00 AM,8.5,80.0,1029.6,8.4,5.3,-371,point
2023-02-04 02:40:00 AM,8.2,80.2,1029.7,8.1,5.0,-382,point
2023-02-04 02:50:00 AM,8.1,80.2,1029.7,8.0,4.9,-387,point
2023-02-04 03:00:00 AM,8.2,80.5,1029.7,8.1,5.1,-381,point
2023-02-04 03:10:00 AM,8.0,81.0,1029.7,7.8,4.9,-392,point
2023-02-04 03:20:00 AM,7.9,80.9,1029.5,7.8,4.9,-392,point
2023-02-04 03:30:00 AM,8.0,81.0,1029.6,7.9,5.0,-390,point
2023-02-04 03:40:00 AM,7.7,82.5,1029.5,7.5,4.9,-402,point
2023-02-04 03:50:00 AM,7.9,83.0,1029.8,7.9,5.2,-395,point
2023-02-04 04:00:00 AM,7.7,82.7,1029.7,7.7,5.0,-402,point
2023-02-04 04:10:00 AM,7.4,84.0,1029.8,7.4,4.9,-414,point
2023-02-04 04:20:00 AM,7.4,83.8,1029.9,7.4,4.9,-416,point
2023-02-04 04:30:00 AM,7.4,84.2,1029.9,7.4,5.0,-415,point
2023-02-04 04:40:00 AM,7.3,84.9,1029.9,7.3,5.0,-418,point
2023-02-04 04:50:00 AM,6.9,85.5,1030.0,6.9,4.7,-435,point
2023-02-04 05:00:00 AM,7.5,86.0,1029.9,7.4,5.3,-413,point
2023-02-04 05:10:00 AM,7.1,86.2,1030.0,7.0,4.9,-428,point
2023-02-04 05:20:00 AM,7.7,86.0,1030.0,7.6,5.5,-406,point
2023-02-04 05:30:00 AM,7.3,85.7,1030.1,7.3,5.1,-421,point
2023-02-04 05:40:00 AM,7.2,85.6,1030.1,7.1,4.9,-426,point
2023-02-04 05:50:00 AM,7.1,86.8,1030.3,7.0,5.0,-431,point
2023-02-04 06:00:00 AM,7.4,85.4,1030.2,7.3,5.1,-419,point
2023-02-04 06:10:00 AM,7.6,84.4,1030.2,7.6,5.2,-411,point
2023-02-04 06:20:00 AM,7.3,85.7,1030.4,7.2,5.0,-426,point
2023-02-04 06:30:00 AM,7.2,86.6,1030.5,7.2,5.1,-428,point
2023-02-04 06:40:00 AM,7.1,87.0,1030.5,7.0,5.1,-434,point
2023-02-04 06:50:00 AM,7.5,85.6,1030.7,7.4,5.2,-420,point
2023-02-04 07:00:00 AM,7.5,85.9,1030.8,7.5,5.3,-420,point
2023-02-04 07:10:00 AM,7.6,85.7,1030.7,7.6,5.4,-415,point
2023-02-04 07:20:00 AM,7.7,86.5,1030.7,7.7,5.6,-411,point
2023-02-04 07:30:00 AM,7.9,86.5,1031.0,7.9,5.8,-405,point
2023-02-04 07:40:00 AM,7.7,87.2,1030.7,7.6,5.7,-413,point
2023-02-04 07:50:00 AM,7.9,87.6,1031.1,7.9,6.0,-405,point
2023-02-04 08:00:00 AM,7.8,87.7,1031.2,7.8,5.9,-410,point
2023-02-04 08:10:00 AM,7.9,88.0,1031.4,7.9,6.0,-410,point
2023-02-04 08:20:00 AM,8.0,88.1,1031.4,7.9,6.1,-407,point
2023-02-04 08:30:00 AM,7.9,88.2,1031.4,8.0,6.1,-409,point
2023-02-04 08:40:00 AM,8.1,88.2,1031.3,8.1,6.2,-402,point
2023-02-04 08:50:00 AM,8.2,88.0,1031.5,8.2,6.4,-398,point
2023-02-04 09:00:00 AM,8.1,88.2,1031.7,8.2,6.3,-404,point
2023-02-04 09:10:00 AM,8.3,87.8,1031.8,8.2,6.4,-400,point
2023-02-04 09:20:00 AM,8.4,87.8,1031.8,8.3,6.5,-395,point
2023-02-04 09:30:00 AM,8.4,87.1,1031.8,8.3,6.4,-395,point
2023-02-04 09:40:00 AM,8.5,86.8,1032.0,8.4,6.4,-393,point
2023-02-04 09:50:00 AM,8.6,86.6,1032.1,8.5,6.4,-392,point
2023-02-04 10:00:00 AM,8.6,86.4,1032.2,8.5,6.4,-392,point
2023-02-04 10:10:00 AM,8.6,86.1,1031.9,8.6,6.4,-388,point
2023-02-04 10:20:00 AM,8.6,86.0,1032.0,8.6,6.4,-388,point
2023-02-04 10:30:00 AM,8.8,85.4,1032.0,8.7,6.4,-384,point
2023-02-04 10:40:00 AM,8.9,84.2,1032.0,8.9,6.4,-378,point
2023-02-04 10:50:00 AM,8.9,84.2,1032.2,8.8,6.3,-381,point
2023-02-04 11:00:00 AM,8.9,83.5,1032.0,8.9,6.3,-376,point
2023-02-04 11:10:00 AM,9.1,82.9,1032.1,9.1,6.4,-371,point
2023-02-04 11:20:00 AM,9.3,81.1,1032.2,9.2,6.2,-365,point
2023-02-04 11:30:00 AM,9.4,79.6,1032.0,9.2,6.1,-358,point
2023-02-04 11:40:00 AM,9.3,78.7,1032.0,9.1,5.8,-363,point
2023-02-04 11:50:00 AM,9.4,77.6,1032.1,9.2,5.7,-361,point
2023-02-04 12:00:00 PM,9.8,76.9,1032.0,9.5,5.9,-348,point
2023-02-04 12:10:00 PM,9.8,75.4,1032.2,9.4,5.6,-350,point
2023-02-04 12:20:00 PM,9.7,75.0,1032.1,9.4,5.5,-350,point
2023-02-04 12:30:00 PM,9.5,72.8,1032.1,9.0,4.8,-361,point
2023-02-04 12:40:00 PM,10.1,74.3,1032.1,9.7,5.7,-338,point
2023-02-04 12:50:00 PM,9.8,72.9,1032.3,9.4,5.2,-348,point
2023-02-04 01:00:00 PM,9.8,72.7,1032.2,9.3,5.1,-350,point
2023-02-04 01:10:00 PM,9.6,72.6,1032.3,9.2,4.9,-358,point
2023-02-04 01:20:00 PM,9.9,73.7,1032.1,9.6,5.4,-343,point
2023-02-04 01:30:00 PM,9.7,72.6,1032.1,9.2,5.0,-353,point
2023-02-04 01:40:00 PM,9.8,73.1,1032.2,9.4,5.2,-349,point
2023-02-04 01:50:00 PM,9.8,72.6,1032.0,9.4,5.2,-345,point
2023-02-04 02:00:00 PM,9.7,73.0,1031.8,9.2,5.1,-350,point
2023-02-04 02:10:00 PM,9.6,73.7,1032.0,9.3,5.2,-353,point
2023-02-04 02:20:00 PM,9.5,71.5,1032.0,9.1,4.6,-360,point
2023-02-04 02:30:00 PM,9.4,71.0,1031.9,9.0,4.4,-363,point
2023-02-04 02:40:00 PM,9.6,70.2,1032.0,9.1,4.4,-359,point
2023-02-04 02:50:00 PM,9.3,68.1,1032.1,8.8,3.7,-370,point
2023-02-04 03:00:00 PM,9.3,68.5,1032.2,8.8,3.8,-371,point
2023-02-04 03:10:00 PM,9.2,68.5,1032.2,8.7,3.7,-373,point
2023-02-04 03:20:00 PM,9.2,69.3,1032.4,8.7,3.9,-376,point
2023-02-04 03:30:00 PM,9.0,67.7,1032.3,8.6,3.3,-384,point
